,순위,책이름,저자,줄거리
236,237,아인슈타인의 꿈,앨런 라이트맨,"당신은 어떤 시간에 살고 있나요?시간에 대한 아름다운 상상력을 담은 소설『아인슈타인의 꿈』. 물리학자이며 MIT 교수이자 소설가인 앨런 라이트맨의 첫 번째 소설로, 시간의 본질에 대한 탐구를 풀어내었다. 과학적 상상력과 문학적 서정성을 바탕으로, 아인슈타인이 상대성이론 연구에 몰두하던 시기에 꾸었던 꿈 이야기를 그리고 있다. 과학적이면서도 철학적이고, 재미있으면서도 시적인 시간의 개념이 펼쳐진다. 아인슈타인의 꿈에는 30가지 유형의 시간과 그 유형에 맞춰 살아가는 사람들이 등장한다. 고여 있기도 하고, 뒤로 돌아가기도 하고, 끊임없이 반복되기도 하는 시간들. 작가는 회귀시간, 과거시간, 현재시간, 미래시간, 시간 지연, 절대시간, 상대시간, 기계시간, 체감시간, 시간의 멈춤과 종말 등 다양한 시간의 개념에 .."
237,238,해롤드 핀터 전집 9,해럴드 핀터,"한국인이 가장 선호하는 영국 현대 극작가 중 하나인 해롤드 핀터의 작품 전체를 번역한 시리즈 제9권. <달빛>, <파티타임>, <정확하게>, <새로운 세계 질서>, <재는 재로> 을 수록했다. 해롤드 핀터는 삶의 무의미성을 보여주며 보이지 않는 힘에 의해서 끝없이 조롱당하는 인간의 실존적 상황을 다루려고 했다. 그는 특유의 구성과 화술을 구사하여 아주 일상적으로 보이는 상황을 극 속에 도입하면서 사실은 모호하기 짝이 없는 인간관계를 설정해 놓는다. 핀터의 극이 현실을 반영하는 사실주의 연극이 아닌 것은 그가 극한 상황에 처한 인간이 겪는 자아 분열에 문제에 관심을 두고 인간의 내면세계를 중시하는 점에서 드러난다."
238,239,적의 화장법,아멜리 노통브,"'적의 화장법'이라는 이 의미심장한 제목은 어쩌면 지겨운 또 한번의 비유를 담고 있는지도 모른다. 책 뒷면의 저자 사진은 작가보다는 배우에 가까왔기에 이 빨간 표지의 강렬한 책은 읽히기도 전에 일종의 '적'처럼 다가올 수 있다. (표지확대를 클릭하면 작가의 사진을 볼 수 있습니다.)백 오십여 페이지의 길지 않은 이 책은 대화로 채워져있다. 공항에서 책을 읽으려는 제롬 앙귀스트에게 어느 순간 알 수 없는 인물 텍스토르 텍셀이 말을 걸어온다. 피하려 하지만 지겹게 달라붙는 그 타자 텍스토르는 결국 그 강렬한 대화를 통해 제롬에게서 원하는 것을 얻는다. 누구의 승리일까. 냉소 가득한 이 대화를 끌어가는 기술이 대단하다. 하지만 그녀의 이 아이러니컬한 냉소는 단지 그녀의 심정적 강렬함을 포장하는 수단일 뿐, 그 안.."
239,240,홍루몽 1,"조설근, 고악","1900년대 이전에 나온 중국 고전 소설 중에서 최고의 걸작으로 일컬어지는 『홍루몽』 제1권. 1754년 필사본이 처음 세상에 나온 이래 100여 종의 간본과 30여 종의 속작이 나왔으며, 세계적으로 수천 명에 달하는 전문가 집단이 '홍학(紅學)'이라는 독립적이고 전문적인 분야를 형성하고 있을 정도이다. 소설은 '여와보천'이라는 신화에서 시작된다. 갑자기 하늘이 무너져 내려 세상이 혼란스러워지자, '여와'라는 신이 오색의 돌을 불에 달구어 벌어진 하늘의 틈을 메운다. 하지만, 여와가 미처 사용하지 못하고 남은 하나의 돌이 있었고, 때마침 나타난 스님과 도사가 이 돌에 글을 새겨 새로운 생명을 부여해 먼 훗날 인간으로 태어나게끔 한다. 그로부터 아주 오랜 세월이 흐르고 나서 이야기의 무대는 금릉(金陵)의 가(.."
240,241,21세기 문예이론,김성곤,"문학의 시대의 새로운 흐름을 이끄는 문예이론을 제시하는 책. 2003년 초부터 2년간 월간 '문학사상'에 실렸던 연재물로, 각 분야의 전문가들에 의해 최근의 문예사조들과 비평이론들이 집대성하였다. 현대문학 연구뿐만 아니라 현대 예술사 및 지성사 공부에도 필수적인 문예이론들을 통해, 현대 문학의 주요 관심사와 급속도로 진행되고 있는 인식의 변화, 그리고 거대하게 밀려오는 시대정신의 변천까지 살펴볼 수 있다.또한 다양한 해외 이론의 국내 수용 가능성을 심도 있게 천착하고 있으며 거기에 수반되는 제반 문제점도 꼼꼼하게 성찰하고 있다. 지난 수십 년 동안 세계문단과 학계에서 일어난 코페르니쿠스적 변화를 잘 보여주는 지적 이정표로서, 문학을 통해 문화를 바라보고 세상의 변화를 짚어내려는 사람들의 기대를 충족시키는 친.."
241,242,마음,나쓰메 소세키,"나쓰메 소세키가 만년에 쓴 대표적인 소설!일본의 국민작가 나쓰메 소세키의 대표적인 작품『마음』. 나쓰메 소세키가 만년에 쓴 이 작품은 20세기 일본 근대문학 최대의 정전으로 평가받고 있다. 나쓰메 소세키는 여러 작품들을 통해 20세기 초 근대적 주체와 불안한 내면 풍경을 깊이 있는 통찰력으로 보여주며, 일본을 대표하는 국민작가로 그 문학적 위치를 확고히 했다. '선생님'은 어릴 적 부모님을 갑작스럽게 여의고 숙부에게 의지하며 자란다. 하지만 믿고 있던 숙부에게 부모님의 유산을 빼앗기고 세상에 홀로 서게 되면서, 인간에 대한 신뢰를 잃는다. 내가 상처를 받느니 차라리 남에게 상처를 주는 것이 낫다는 마음을 갖게 된 그는, 사랑을 쟁취하는 과정에서 절친한 친구인 K를 죽음으로 내몰게 되는데….나쓰메 소세키는 변.."
242,243,아침꽃을 저녁에 줍다,루쉰,"중국 근대기 대표적 사상가이자 문학가인 루쉰의 산문집. 1991년 발행되었던 책의 개정판이다. 변화된 한국의 현실에 맞춰 새롭게 골라, 번역하고 일부만 실렸던 글들은 전문을 모두 실었다. 격동의 시대를 살아가는 지성인으로서, 사소한 일상을 살아내는 한 생활인으로서, 또한 암흑의 중국 근대사를 보낸 국민으로서 살아간 저자의 고뇌와 흔적은 암울한 시대에 중국 민중을 깨우고 중국의 현실을 질타한다. 또한 관계, 남녀평등의 문제뿐만 아니라 청년들에게도 열렬한 외침을 쏟아낸다."
243,244,러시아 인형,아돌포 비오이 카사레스,"국내에 소개된 남미의 환상문학은 대표적으로 마르께스와 보르헤스의 작품들을 꼽을 수 있다. 콜롬비아의 작가 가브리엘 가르시아 마르께스의 작품은 중남미 역사관에서 갖고 온 민중 신화나 민간 신앙을 바탕으로 그들의 민족성을 이룬 본질적이며 원초적인 실재를 다루고 있다. 아르헨티나의 작가 호르헤 루이스 보르헤스의 작품은 현실과 현대 문화의 위기에 대한 대안으로 상정된 상상력에 바탕을 둔 가정의 세계를 표현하고 있다. 이번에 소개하는 비오이의 작품은 제멋대로 변형되고 창조되어 황당한 꿈속을 거니는 환상세계가 아닌, 실제적인 배경과 인물을 제시함으로써 탄탄한 현실감을 느끼게 한다. 여기에 비현실적이고 초자연적인 요소를 삽입하되 상호간의 조화를 통해 현실을 더 깊게 절감하게 한다. 인간의 보편적인 감정인 사랑과 인간 사.."
244,245,워싱턴 스퀘어,헨리 제임스,"딸의 사랑을 둘러싸고 벌어지는 딸과 아버지의 갈등을 다룬 헨리 제임스의 대표작. 부패한 구세계(유럽)과 순진한 신세계(미국) 두 세계의 문화를 체험하고 양자의 갈등과 충돌을 작품의 주제로 삼은 영미 문학의 거장으로, 조이스, 울프 등이 사용한 의식의 흐름 기법과 모더니즘 문학, 현대 소설 비평론에 많은 영향을 미쳤다.작가는 관습에 얽매이지 않는 상상력과 자유로운 영혼을 지닌 주인공이 억압적인 환경 속에서 어떻게 선장하고 좌절하는지를 섬세한 심리 묘사와 밀도 높은 문체로 그려내고 있다. 의사인 오스틴 슬로퍼는 교양과 양심을 지닌 완벽한 인물이지만 평범하고 둔한 딸 캐서린을 인정하지 못하는 편협한 인물이다. 반면, 캐서린에게 접근하는 모리스 타운센드는 자유분방하고 매력적인 젊은이지만 타인을 전혀 이해하지 않는다.."
245,246,일리움,댄 시먼스,"신화의 주인공들과 떠나는 40세기 스페이스 오디세이[일리움]은 가히 ‘우아한 괴물’ 혹은 ‘장대한 스케일의 우주 오페라’로 불려도 좋을 방대한 걸작이며, 문학적 품질과 읽는 즐거움을 다 같이 갖춘 현대 미국 소설이다. 오천 년이란 시간과 태양계 전체를 아우르는 공간을 마음대로 휘젓고 다니며 벌어지는 스토리는 각 시대의 수많은 등장인물과 여러 가닥의 이야기로 인해 독자의 지적인 집중력을 끊임없이 요구하면서도, 도저히 손에서 책을 뗄 수 없게 만드는 일관된 재미와 탁월한 유머, 손에 땀을 쥐게 하는 응집력, 그리고 결국 그 모든 스토리가 교묘하게 하나로 결집되는 창의력이 눈부시게 돋보인다. 그리스 신화와 호머의 기념비적 서사시 [일리아드]를 기본 틀로 삼으면서도 셰익스피어, 브라우닝, 프루스트, 웰즈 등의 고전.."
246,247,파멜라 2,새뮤얼 리처드슨,"18세기 유럽의 최고 인기 소설!'서구 근대 소설의 효시'로 인정받는 새뮤얼 리처드슨의 장편소설『파멜라』제2권. 18세기 유럽에서 높은 인기를 누린 소설이자 당대에 큰 영향을 미친 소설이었으며, 최초의 서간체 소설로도 알려져 있다. 영국의 성공한 인쇄업자였던 새뮤얼 리처드슨은 동료로부터 편지 쓰기에 익숙하지 않은 일반인들에게 모범적 편지 형식을 보여주는 서한집을 써달라는 권유를 받고 이 소설을 집필하였다. 영국 귀족 부인의 몸종인 15세 소녀 파멜라. 이 소설은 파멜라가 자신을 농락하려는 귀족 부인의 아들에 맞서 끝까지 부정한 관계를 거부하고 정조를 지키다 결국 그의 마음을 돌려 정식 결혼에 이르는 과정을 그리고 있다. 어떠한 악의 상황에서도 끝까지 굴복하지 않고 미덕을 지키면 보상을 받게 된다는 교훈을 전.."
247,248,서정록을 찾아서,지영재,"700년 전 익재 이제현의 특별한 작시 여행 <서정록>. <서정록>은 14세기 이제현이 원나라 대륙을 가로질러 사천성 야미산까지 여행하고 나서 엮은 시집이다. 이 책은 <서정록>의 기행을 지도와 답사, 자료를 통해 따라가며 이제현의 시와 그의 삶을 살펴보고, 그를 통해 당시 고려의 모습, 중국의 모습을 생생하게 재현한다."
248,249,길에서 띄우는 편지,이제현,"이 책은 <익재난고>와 <역옹패설>에서 이제현의 문학을 잘 보여주는 글을 뽑아 엮은 것이다. 소악부 9수를 비롯하여 중국 여행길에서 쓴 시, 아름다운 고국의 자연을 노래한 시까지 합해 180여 수의 시를 실었고, 시정의 여러 가지 이야기, 시 평론, 상소문, 책문, 편지글 가운데 뛰어난 산문 80여 편을 뽑아 실었다.이 책 <길에서 띄우는 편지>에서 임금의 총애를 받고 정승의 자리까지 올랐으나, 힘 없는 나라 백성으로 태어나 오랜 세월 고국을 떠나 살 수밖에 없었던 이제현의 울분과 그리움을 만날 수 있다."
249,250,허세욱의 한시 특강,허세욱,"이 책은 일반 독자층을 대상으로 한 책으로, 전문적인 내용을 비전공인 일반 독자들도 쉽게 이해할 수 있도록 풀어쓴 교양 도서이다."
250,251,재즈,토니 모리슨,"노벨 문학상을 수상한 저자의 대표작. 남편은 딸 같은 소녀를 지독하게 사랑한 나머지 총으로 쏘아 죽인다. 아내는 그 소녀를 끔찍하게 미워한 나머지 장례식에서 난동을 부린다. 소녀는 자기 자신을 너무나 싫어한 나머지 죽음을 자청한다. 그리고 또 다른 소녀가 그들의 삶 속으로 뛰어든다. 애욕의 삼각관계, 질투, 살인, 그리고 구원, 섹스와 영성, 굴종과 해방, 시골과 도시, 남성의 삶과 여성의 삶에 대한 이야기. 양장본."
251,252,요헨의 선택,한스 게오르크 노아크,"청소년 범죄, 마약 중독, 인종적 증오 등을 주제로 많은 글을 써서 유럽 전역에서 유명한 청소년 작가가 된 한스-게오르크 노아크의 첫 청소년 소설. 한번 엉켜버린 실타래처럼 자신의 의지와는 상관없이 계속 어긋나기만 하는 소년, 요헨의 삶과 그 안에서 방황하고 비뚤어져 가는 요헨의 모습을 그리고 있다.'좋은 가정 출신의 반듯하고 귀여운 소년'이라 불리는 13살 요헨. 그는 부모가 이혼한 뒤 처음 한동안 엄마와 더 많은 시간을 함께할 수 있음을 기뻐한다. 그러나 엄마에게 새 남자친구가 생기면서 자신이 설 자리가 자꾸 줄어든다고 생각한 요헨은 그 빈자리를 어른스러워 보이는 악셀과 여자친구 엘비라로 채운다. 그들에게 훔친 물건을 선물하다 발각된 요헨은 자신을 비난하던 반 친구와 싸움을 벌이다 유리병으로 그를 때리게.."
252,253,해롤드 핀터 전집 3,해럴드 핀터,"한국인이 가장 선호하는 영국 현대 극작가 중 하나인 해롤드 핀터의 작품 전체를 번역한 시리즈 제3권. <밤나들이>, <정부>, <티파니>, <지하 아파트> 를 수록했다. 해롤드 핀터는 삶의 무의미성을 보여주며 보이지 않는 힘에 의해서 끝없이 조롱당하는 인간의 실존적 상황을 다루려고 했다. 그는 특유의 구성과 화술을 구사하여 아주 일상적으로 보이는 상황을 극 속에 도입하면서 사실은 모호하기 짝이 없는 인간관계를 설정해 놓는다. 핀터의 극이 현실을 반영하는 사실주의 연극이 아닌 것은 그가 극한 상황에 처한 인간이 겪는 자아 분열에 문제에 관심을 두고 인간의 내면세계를 중시하는 점에서 드러난다."
253,254,해롤드 핀터 전집 6,해럴드 핀터,"한국인이 가장 선호하는 영국 현대 극작가 중 하나인 해롤드 핀터의 작품 전체를 번역한 시리즈 제6권. <컬렉션>, <풍경>, <침묵>, <옛 시절> 을 수록했다. 해롤드 핀터는 삶의 무의미성을 보여주며 보이지 않는 힘에 의해서 끝없이 조롱당하는 인간의 실존적 상황을 다루려고 했다. 그는 특유의 구성과 화술을 구사하여 아주 일상적으로 보이는 상황을 극 속에 도입하면서 사실은 모호하기 짝이 없는 인간관계를 설정해 놓는다. 핀터의 극이 현실을 반영하는 사실주의 연극이 아닌 것은 그가 극한 상황에 처한 인간이 겪는 자아 분열에 문제에 관심을 두고 인간의 내면세계를 중시하는 점에서 드러난다."
254,255,한중록,혜경궁 홍씨,"사도세자의 빈궁이며정조의 어머니인 혜경궁 홍씨가 60 평생의 한 많은 이야기를 적은 책. 섬세하고 아담한 궁중체의 문장, 우아한 문체 속에 등장 인물의 성격을 선명하게 그려낸 점등으로 한국 산문 문학의 정수로 평가되기도 한다. 높은 사료적 가치 등으로 <인현왕후전>과 함께 궁중 문학의 쌍벽을 이루는 작품."
255,256,해롤드 핀터 전집 7,해럴드 핀터,"한국인이 가장 선호하는 영국 현대 극작가 중 하나인 해롤드 핀터의 작품 전체를 번역한 시리즈 제7권. <사장된 땅>, <난쟁이들>, <축하파티> 를 수록했다. 해롤드 핀터는 삶의 무의미성을 보여주며 보이지 않는 힘에 의해서 끝없이 조롱당하는 인간의 실존적 상황을 다루려고 했다. 그는 특유의 구성과 화술을 구사하여 아주 일상적으로 보이는 상황을 극 속에 도입하면서 사실은 모호하기 짝이 없는 인간관계를 설정해 놓는다. 핀터의 극이 현실을 반영하는 사실주의 연극이 아닌 것은 그가 극한 상황에 처한 인간이 겪는 자아 분열에 문제에 관심을 두고 인간의 내면세계를 중시하는 점에서 드러난다."
256,257,나 제왕의 생애,쑤퉁,"광대가 되어 세상을 떠돈 어린 제왕의 일생'중국 문단의 선봉장', '중국 제3세대 문학의 대표자'로 불리는 중국의 대표 소설가, 쑤퉁의 장편소설. 소설집 <이혼 지침서>와 장편소설 <쌀>로 국내에 소개된 작가가 이번 작품에서 섭나라라는 가상의 왕조를 배경으로, 열네 살 어린 나이에 제왕이 된 한 남자의 삶을 그려내고 있다.  주인공 단백은 갑작스레 제왕의 자리에 올라 세상을 지배할 권한을 갖게 된다. 그러나 실제로 그는 정치적 음모의 희생양일 뿐, 아무것도 할 수 없는 무력한 제왕일 뿐이다. 하늘을 나는 새를 동경하며 매인 데 없이 훨훨 날 수 있기를 소망하던 단백은 음모와 정치적 투쟁, 숨막히는 궁중 생활 끝에 궁에서 벗어나 '줄타기 왕'으로 명성을 얻게 되는데…. ▶ 작품 자세히 들.."
257,258,콧수염,엠마뉘엘 카레르,"1986년 프랑스에서 처음 발표되자마자 몽상과 현실을 교묘하게 교차시키는 특이한 작가로 일약 주목을 받으며 예상치 못한 대중적 호응을 얻으며 대성공을 거둔 『콧수염』은 “명백한 사실을 부정하기 시작하면 과연 어떻게 될까?”라는 아주 재미있어 보이는 가정에서 출발한다. 어느 날 아침 남편은 아내를 깜짝 놀래 주려고 콧수염을 깎는다. 하지만 아내는 아무 반응도 보이지 않으며 급기야는 남편이 본래 있지도 않은 수염을 깎았다고 주장한다며 미치광이로 몰아가는데……. 현재 사회에 만연해 있는 극단적인 개인주의와 무관심, 그리고 그 속에서 자라나는 광기의 측면을 극도의 서스펜스와 절묘하게 조화시킨 이 작품은, 많은 비평가들로 하여금 작가 카레르를 지극히 일상적인 우리의 삶을 악몽으로 새로이 묘사하고 정의하는 헨리 제임스.."
258,259,광인,하 진,"<피아오 아저씨의 생일파티>, <니하오 미스터 빈> 작가, 하진의 대표작. 전미 도서상, 펜 코프너 문학상 수상 작가인 하진, 그에게 인생의 전환점이었던 톈안먼 사건을 배경으로, 고뇌하는 지식인의 모습을 위트와 유머로 풀어내고 있다. 1989년 봄, 누구보다 왕성하게 활동하던 샨닝 대학 중문학부의 양 교수가 갑작스럽게 뇌졸중으로 쓰러진다. 주인공 지안은 양 교수의 딸 메이메이와 약혼한 상태이며, 양 교수의 지도 아래 베이징 대학 고전문학부 박사 과정에 입학하기 위해 시험을 준비하는 중이다. 양 교수가 쓰러진 뒤, 지안은 학부의 부탁으로 매일 오후 양 교수를 간병하는 일을 맡게 된다. 양 교수를 간병하는 동안 지안은 양 교수의 비밀스런 과거, 대학 내의 정치적 음모, 학자의 존재 가치에 .."
259,260,소립자,미셸 우엘벡,"현대 프랑스 문단에서 가장 주목받는 작가인 미셸 우엘벡의 장편소설. '리르'지가 선정한 1998년 최고의 책이기도 하다. 미셸과 브뤼노-서로 상반된 두 형제의 삶을 통해, 서구 문명의 자멸과 해체과정을 그리고 있다. 베르베르와 쌍뻬 등의 작품을 작업해온 이세욱씨의 번역이 깔끔하다.한 개인은 그 자신인 동시에 그가 속한 세대와 사회 자체이기도 하다. '시대의 징후를 드러'내거나 '변화를 이끌어내는' 개인은, '그'인 동시에 '그들'이기도 한 것이다. 지은이는 주인공들의 가계를 통해, 2차대전 이후부터 현재까지 서구문명의 변화과정을 스케치한다.부모의 애정을 받지 못하고 자란 두 형제는 평생 감정적.정신적 장애를 안고 살아가게 된다. 형 브뤼노는 성행위에 집착하지만 한순간도 만족을 얻지 못한다. 동생 미셸은 촉망.."
260,261,포스트잇 라이프,앨리스 카이퍼즈,"이혼한 엄마와 함께 사는 10대 딸의 애틋한 성장기. 철없는 10대 딸과 암 투병 중인 싱글맘이 냉장고에 메모를 붙이며 이야기를 주고 받는 구성의 소설이다. 독특한 형식과 재기발랄한 감성의 조화가 돋보이는, 영국 작가 앨리스 카이퍼즈의 데뷔작이다."
261,262,서유기 세트,오승은,"황제의 칙명으로 불경을 구하러 인도에 가는 현장삼장(玄三藏)과 손오공(孫悟空)의 기상천외한 모험기. 중국 4대 기서의 하나로 꼽히는 오승은의 소설 [서유기] 전10권을 함께 담은 세트이다. 서울대학교 서유기 번역연구회가 우리말로 옮긴 정본 완역본으로, 원문의 현장감과 박진감, 생생한 이야기체를 충분히 살려냈다. 세트 구매 독자에게는 서유기의 개략적인 줄거리와 이야기 구조, 이야기가 만들어진 배경, 작가가 의도 등을 제시한 해설집(『그래서 그들은 서천으로 갔다』)을 증정한다."
262,263,80일간의 세계일주,쥘 베른,"사교 모임인 리폼 클럽의 회원인 포그는, 어느 날 회원들에게 80일이면 세계를 한 바퀴 돌 수 있다고 큰소리친다. 그리고 회원들과 2만 파운드의 내기를 하고. 포그는 파스파르투라는 하인을 데리고 여행을 떠나, 세계 일주를 시작하는데... 그런데 이 때 포그를 잉클랜드 은행 도난 사건의 범인으로 생각한 픽스 형사가, 포그의 뒤를 쫓으며 여행을 방해하기 시작한다. 포그는 과연 80일 만에 세계 일주를 할 수 있을까? 세계 여러 나라의 지리, 역사, 문화 풍속도 알려주는 흥미진진한 모험 이야기."
263,264,이혼 지침서,쑤퉁,"중국이 낳은 세계적인 작가, 쑤퉁의 대표작 세 편!중국 대표 작가인 쑤통의 소설집. 삶의 부조리를 특유의 아이러니를 통해 드러낸 작가의 대표작 3편이 수록되어 있다. 개성 있는 캐릭터, 생동감 넘치는 묘사, 강렬하고 아름다운 이미지 속에 공감을 얻을 수 있는 이야기들을 서정적이고 유머러스하게 풀어내고 있다. 이 책은 네 명의 처첩을 둔 천씨 가문을 무대로 축첩제도의 현실과 그 속에서의 여성의 정체성을 담은 <처첩성군>, 이혼을 매개로 하여 무기력한 현대인의 자화상을 그린 <이혼 지침서>, 전쟁터가 된 마을에서 바보 소년과 떠돌이 소녀가 나눈 짧은 사랑을 서정적이면서도 우스꽝스럽게 풀어낸 <등불 세 개>를 담았다. 작가는 집안이 몰락해 중늙은이의 첩이 된 여자, 가정과 사회 어.."
264,265,허클베리 핀의 모험,마크 트웨인,"현대 미국 문학의 첫 출발로 꼽히는 마크 트웨인의 대표작. 문명 사회의 속박에서 벗어나려는 주인공 허클베리 핀과 노예 사슬에서 도피하려는 흑인 짐이 굳게 뭉쳐 미시시피 강의 대자연 속에서 펼치는 모험을 작가의 숙달된 기법과 성숙한 인간성을 반영하여 문명 사회의 허위와 계략, 그 속에 살고 있는 인간 본질의 협애성과 왜소성, 잔혹성 등 중층적 의미를 포함시킨 걸작이다."
265,266,"적들, 어느 사랑이야기",아이작 싱어,폴란드 출신의 미국계 유대인 작가 아이작 싱어의 노벨문학상 수상작. 유대인 독일어인 이디시어로 글을 쓰는 그는 타고난 이야기꾼으로 현대 사실주의와 유대의 전설 및 환상을 결합한 작품을 많이 썼다. 이 작품은 싱어 특유의 환상성보다는 미국의 냉혹한 물질주의 사회 속에서 방황하고 소외당하는 유대인의 모습에 대한 성찰이 두드러진다. 싱어는 미국사회와 유대인간의 갈등 뿐 아니라 남녀간의 성도덕에 대한 차이에 대해서도 주목하며 유대인작가로서의 정체성을 분명히 한다.
266,267,"쥬제페, 사로잡힌 남자 이야기",이시이 신지,"행복을 전염시키는 남자의 브레이크 없는 러브 스토리. 쥬제페는 자기도 모르게 이것 저것에 사로잡히는 남자이다. 오페라, 삼단뛰기, 탐정놀이, 곤충채집, 외국어, 수수께끼 등등 뚜렷한 목적도 없이 한번 빠지면 오페라는 모든 말을 노래로 불러버리고 삼단뛰기는 세계신기록을 낼 만틈 몰두하는 순수한 영혼을 지닌 쥬제페가 마침내 사랑에 빠지게 되는데..."
267,268,손오병서,김달진,"<손오병서(孫吳兵書)>는 삼천 년간이나 전승(戰勝)에 있어서의 만고의 철칙으로 수많은 이들에게 면면히 이어져온 병법에 관한 불후의 명작으로 일컬어져왔다. 중국 최초의 병서일 뿐만 아니라 중국 역사상 가장 위대한 군사적 저작(著作)이며, 또한 병법만의 이론이 아니라 인정(人情)의 속까지 깊이 파고들어가 사람을 움직이고 세상을 제어해나가는 길을 설파하였기 때문에 중국의 주요 병서를 일컫는 ‘칠서(七書)’ 중에서도 단연 대표가 되어왔다."
268,269,어두운 상점들의 거리,파트릭 모디아노,"1978년 프랑스 콩쿠르 문학상 수상작 현대 프랑스 문학의 거장으로 불리는 파트릭 모디아노의 대표작. 바스러지는 과거, 잃어버린 삶의 흔적, 악몽 속에서 잊어버린 대전의 경험을 주제로 한 어떤 기억 상실자의 이야기를 담았다. 주인공을 통해 작가는 '소멸된 자아찾기'라는 보편적 주제를 신비와 몽상의 언어로 탐색하고 있다. 낡은 과자통 속에 노랗게 바래져가는 몇 장의 사진들, 지금은 바뀌어버린 지 오래인 전화번호들, 차례차례로 사라져가는 몇 사람의 증인들. 흥신소의 퇴역 탐정인 주인공은 기억상실증에 걸리게 되고, 한 장의 낡은 사진과 부고를 단서로 자신의 과거에 대한 추적에 나선다. <개정판> <양장제본>"
269,270,게공선,고바야시 다키지,"'게 공선'의 가혹한 노동조건과 착취를 고발한 작품!일본 계급주의 소설의 대표작『게 공선』. 캄차카 바다로 나가서 게를 잡아 통조림으로 가공하는 배 안에서 혹사당하는 어업노동자의 이야기를 다룬 작품이다. '게 공선'은 선박이 아닌 공장선이기 때문에 항해법이 적용되지 않고, 또한 공장법도 적용되지도 않는다. 이러한 법의 사각지대에서 노동자들이 가혹한 노동조건에 맞서 싸우는 과정을 그리고 있다.이 소설은 게 공선에서 일하는 노동자와, 자본권력에 충실한 감독과 일본 해군을 대립시키고 있다. 이러한 대립 구조를 통해 지배 권력들이 어떻게 서로 결탁하여 자본주의적 착취를 행하는지를 이야기한다. 작가는 개인의 성격이나 심리 대신 노동의 집단을 주인공으로 내세우고, 비인간적인 노동조건에 대항하는 '집단 연대'에 대한 신.."
270,271,사람아 아 사람아,다이 호우잉,"중국 현대사의 격변기를 살아 온 11명의 상징적 인물을 통해 휴머니즘 문학의 승리를 다룬 다이허우잉의 소설.작가 다이허우잉은 1966년 문화대혁명과 함께 혁명 대열의 전사로 참가했다가 '검은 시인'으로 비판받던 시인 원지에와의 비극적인 사랑으로 반혁명 분자로 몰려 고난을 당하다가 1980년부터 대학에서 문예이론을 담당하면서 창작에 몰두, 중국 현대 휴머니즘 문학의 기수로 떠오른 인물이다. 　작가 자신의 통절했던 체험 속에서 건져 낸 인간상 11인의 일인칭 서술을 통해, 57년의 '반우파투쟁', 10년에 걸친 문화대혁명, 그리고 오늘을 함께 조명하면서, 이러한 격변기 속에서의 중국 지식인의 운명을 그리고 있다. 저자는 역사적 사건에 대한 비판보다는 이러한 역사적 격동이 인간 관계에 미친 충격과 그 대응 방식을.."
271,272,라쇼몽,아쿠타가와 류노스케,"나쓰메 소세키, 모리 오가이 등과 함께 일본이 낳은 최고의 문학가로 손꼽히는 작가 아쿠타가와 류노스케의 단편을 모았다. 그는 35세의 짧은 나이로 요절할 때까지 자신만의 독특한 문학적 성취를 이루어 냈으며, 당시 유행했던 자연주의를 거부하고 고전이나 현대에 새로운 해석을 가해 명확한 주제로 풀어내었다. 이 책에는 [라쇼몽], [코], [덤불 속], [지옥변]등 그의 대표작 8편이 실려 있다."
272,273,악의 심연,막심 샤탕,"막심 샤탕을 스릴러 거장으로 만든 '악의 3부' 조슈아 브롤린 탐정 시리즈뉴욕의 대규모 연쇄실종사건을 다룬 추리소설. 2002년 <악의 영혼>을 선보이면서 스물여섯 살의 나이로 프랑스 장르문학계에 혜성처럼 등장한 작가 막심 샤탕이 스스로 '악의 3부작'이라 일컬은 작품 중 두 번째 책이다. 매혹적인 과학수사기법, 화려한 영화적기법, 완벽한 시나리오 사이에 깃든 인간에 대한 번뇌와 애정을 만날 수 있다. 소설은 칠흑 같은 어둠 속, 머리 가죽이 벗겨진 여자가 뉴욕의 도로 위를 발가벗고 숨가쁘게 도망치는 장면으로 시작한다. 가까스로 구출된 그녀의 이름은 훌리아, 몸에는 숫자 문신이 새겨져 있다. 67-3. 무엇을 의미하는 숫자일까? 뉴욕 경찰청(NYPD)은 훌리아의 머리 가죽을 벗긴 범인을 찾아나서는.."
