,순위,책이름,저자,줄거리
151,152,예찬,미셸 투르니에,"아카데미 프랑세즈 소설 대상을 받은 현대 프랑스 작가의 산문집. `예찬`보다 더 좋은 것은 없다. 어떤 아름다운 음악가, 한마리 우아한 말, 어떤 장엄한 풍경, 심지어 지옥처럼 웅장한 공포 앞에서 완전히 손들어 버리는 것, 그것이 바로 삶에 의미를 부여하는 것이다. 이처럼 인간, 삶, 자연 등에 대해 유려한 문체와 깊은 철학적 사색을 피력한 <나무와 숲>, <한밤의 고슴도치 학살>, <생 루이섬> 등 82편의 짧은 글을 묶었다. 양장본."
152,153,이야기하기 위해 살다,가브리엘 가르시아 마르케스,"콜롬비아의 가난한 문학 소년이 세계 문학의 중심에 서다!소설 <백년의 고독>으로 노벨문학상을 수상한 가브리엘 가르시아 마르케스의 문학적 고백, 『이야기하기 위해 살다』. 노벨문학상 수상자이자 '마술적 사실주의'의 선구자인 저자는, 1999년 암 진단을 받고 완쾌된 후에 자서전을 쓰기로 결심한다. 그리고 완성된 이 책은 2001년에 출간되자마자 에스파냐어 권에서 베스트셀러가 되었다. 노년이 된 저자는 위트 있는 목소리로 어린 시절과 청년 시절을 회상하고 있다. 그래서 우리는 열정이 넘쳐나는 젊은 소설가 '마르케스'와 여유가 묻어나는 늙은 소설가 '마르케스'의 목소리를 동시에 들는다. 아울러 저자는 연대기적 구성을 피하고, 자신의 기억 속에 머문 추억을 하나하나 펼쳐 보이면서, 우리와 대화를 시도하고.."
153,154,혼자만 잘 살믄 무슨 재민겨,전우익,"MBC! 느낌표 '책을 읽읍시다' 선정도서올 겨울, 우리 마음속 뜨듯한 아랫목에 고봉밥처럼 품고 싶은 책MBC!느낌표 '책을 읽읍시다' 선정도서 『혼자만 잘 살믄 무슨 재민겨』. 경북 봉화에서 농사지으며 홀로 자연에 순응한 삶을 살아가는 저자가 지인들과 9년간 주고 받은 편지글을 책으로 묶었다. 농사꾼으로 자처하며 시종 농사짓는 이야기를 주제로 잡고 있지만 그 속에 자연의 섭리와 세상살이의 바른 이치가 모두 담겨있다. 어지러운 세상사를 농사의 단순하고 소박한 언어에 비춰, 우리가 잊고 있는 참 삶을 깨우쳐주는 편지글 12편이 수록되어 있다.봉화에 사는 지은이는 누구를 만나든 농사꾼으로 자처하며 시종 농사짓는 이야기밖에 하지 않는다. 그러나 쉽사리 듣기 힘든 농사짓는 이야기 중에 큰 우주가 있고 예지가 빛난다.."
154,155,열하일기 세트,박지원,"2005년은 연암이 죽은 지 꼭 200년이 되는 해다. 연암 탄생 150주년에 맞추어 북한에서 《열하일기》 완역본을 냈는데, 남한에서는 연암 서거 200년을 앞두고 완역본이 출간되었다. 연암은 《열하일기》에서 철학과 사상, 과학과 음악, 정치와 문화, 실용과 논리를 자유롭게 펼친다. 이 책을 읽으면 왜 사람들이 조선의 중세가 이 책 한 권에서 끝장나기 시작했다고 말하는지 알게 될 것이다. 청나라 건륭 황제의 만수절을 축하하는 사신 일행에 어쩌다 함께 가게 된 연암은 빡빡한 일정과 아랑곳없이 혼자 온갖 풍류를 즐긴다. 《북학의》를 쓴 박제가를 내심 부러워했던 연암은 중국에서 좋은 벗들과 깊은 얘기를 나눠 보리라 작정했고, 한인과 만인을 가리지 않는 열린 태도 덕분에 많은 사람들과 갖가지 .."
155,156,사랑하였으므로 나는 행복하였네,"장석남, 김선우","한국 현대시 100년 기념으로 우리 시대 대표 시인들이 추천한 사랑시와 해설, 그림을 엮은 조선일보 연재 '한국인이 애송하는 사랑시'가 한 권의 책으로 출간되었다. 1920년 발표된 김소월의 '먼 후일'부터 2008년 발표된 문태준의 '백년'까지. 50편의 사랑시와 함께 장석남, 김선우 시인의 해설을 수록하였다."
156,157,나는 걷는다 3,베르나르 올리비에,"30년간의 기자생활 끝에 퇴직한 저자는, 여생을 편히 보내기를 거부하고 예순두 살의 나이로 이스탄불과 중국의 시안(西安)을 잇는 1만 2000킬로미터에 이르는 실크로드를 오직 걸어서 여행하기로 결심한다. 저자는 4년 동안의 계획을 세워 배낭을 메고 길을 떠나면서 여행이 한 구간 끝날 때마다 여행기록을 남기고 휴식을 취한다. 실크로드의 마지막 구간에서 저자는 눈 덮인 파미르를 넘어, 중앙아시아에서 아직까지 천일야화 시대의 생활상을 간직한 도시 카스를 거친다. 그리고 타클라마칸 사막과 고비 사막을 지나면서 마침내 2002년 여름, 실크로드의 끝에 도착하는데……."
157,158,살아온 기적 살아갈 기적,장영희,"당신이 지금 힘겹게 살고 있는 하루하루가바로 내일을 살아갈 기적이 된다!얼마 전 세상을 떠난 장영희 교수의 유고 산문집. 암투병 중에 완성한 원고이지만, 밝고 따뜻하고 활기에 넘치는 그녀의 평소 모습이 그대로 녹아 있다. 당신이 지금 힘겹게 살고 있는 하루하루가 바로 내일을 살아갈 기적이 된다는 희망. 그녀가 생의 마지막까지 말하려 한 것은, 바로 희망의 힘이다. 『내 생애 단 한번』 출간 이후, 지난 9년 동안 장영희 교수에게는 많은 일들이 있었다. 2001년 처음 암에 걸렸고, 방사선 치료로 완치 판정을 받았으나 2004년 척추로 전이, 2년간 어렵사리 항암치료를 받았다. 치료가 끝난 후 다시 1년 만에 간으로 암이 전이되었고 입퇴원을 반복하면서도 손.."
158,159,홀로 사는 즐거움,법정,더욱 깊어진 사유의 언어와 한층 더 맑아진 영혼의 소리를 담아 5년 만에 펴내는 법정 스님의 신작 산문집.법정 스님은 얼마 전 사단법인 ‘맑고 향기롭게’와 길상사의 회주 등 모든 직함을 벗고 내면의 소리에 귀 기울이는 삶과 침묵을 선언하셨다. 존재에 대한 성찰을 위해 끝없이 정진하는 진정한 수도자로서의 면모를 보여준 스님의 이번 책에는 [오두막 편지] 이후의 스님의 생활 모습과 생각들을 담았다. 홀로 사는 즐거움을 말하지만 결국 홀로 있는 것은 함께 있는 것임을 설파하는 책이다.
159,160,시골의사의 아름다운 동행 1,박경철,"시골의 외과의사가 병원이라는 풍경 속에서 깊고 따뜻한 시선으로 건져올린 35개의 에피소드를 엮은 책. 저자는 경북 안동에서 외과의사로 근무하며 '시골의사'라는 닉네임으로 유명한 주식투자 전문가이기도 하다. 이 책은 그런 그가 자신의 블로그에 ""인생""이라는 코너에 연재했던 글을 모은 것이다. 　저자는 병원이라는 풍경 속에서 벌어진 환자들의 이야기를 소재로 하여 '인생'에 대해 이야기한다. 결혼을 앞두고 사고로 한쪽 다리를 잃은 예비신부, 치매에 걸려 사랑하는 손자를 참혹한 죽음에 이르게 한 할머니, 사할린에 징용군으로 끌려갔다 50년 만에 재회했지만, 또 다시 사고로 죽음을 앞둔 남편을 바라봐야 하는 할머니 등 참혹하고도 눈물겨운 우리 삶의 단면들을 들추면서, 내가 바로 '그네들'이 될 수 있음을, 지금 이 .."
160,161,그늘의 발달,문태준,"잠시 꿔온 빛으로 쓰여진 문태준 시인의 일기!문태준 시집『그늘의 발달』. 2006년 시단을 뜨겁게 달구었던 시집 <가재미> 이후 2년 만에 펴낸 네 번째 시집이다. 이전 시집보다 깊이 있고 아름다운 71편의 시를 4부에 나누어 담았다. 시인은 느리지만 힘 있는 문체로, 현대적 인식을 전통적인 문법과 가락으로 귀향시킨다. 전통에 현대적인 시적 자아를 개입시켜 재미를 더하고 있다.이번 시집에서는 시인의 이전 시집들에서도 만나온 자연의 모습과 시인의 유년 시절의 소박하고 평화롭고 정감이 가득한 세계를 엿볼 수 있다. 삶의 감각, 사물의 감각, 언어의 감각이 어우러져 빚어낸 그 세계는 사소하고 숨어 있는 섬세한 감각이 얼마나 우리 삶의 깊은 곳을 관통하고 있는지를 알려준다.표제작 <그늘의 발달>.."
161,162,농무,신경림,"1973년에 처음 출간된 신경림 시인의 시집. 근대화로 농촌이 서서히 붕괴되기 시작할 무렵, 농민들의 울분과 허탈감을 절묘하게 시로 승화시켰다는 평가를 받는다. 표제작인 「농무」가 발표된 것은 1970년이었으며, 시인은 이 작품으로 제1회 만해문학상을 수상했다. 당시까지 난해한 모더니즘과 구체적인 삶이 결여된 서정시만 존재하던 시단에 혁명적인 충격을 던져줬던 작품이다."
162,163,이희호 자서전 동행,이희호,"낮과 밤이 뒤섞인 한국 현대사의 가장 내밀한 기록이자,사형수에서 대통령이 된 사람의 동반자로 살아온 46년의 기억김대중 전 대통령의 정신적인 동지이며 삶의 동반자, 이희호 여사의 신산했던 삶과 순정한 꿈의 기록 『동행』. 이희호 여사는 일제 통치 하의 암울한 시대에 태어나 해방과 분단, 전쟁의 소용돌이에서 젊은 날을 보냈다. 유복한 가정 형편 덕에 배움의 혜택을 누릴 수 있었던 이희호 여사. 평탄하게 지내왔던 그녀의 일상을 송두리째 뒤바꾸게 될 운명적인 만남이 찾아온다.이희호 여사의 인생행로는 김대중 전 대통령과의 만남 이후 소용돌이치는 역사의 중심으로 들어갔다. 격동의 현대사 속에서 정권의 탄압으로 감옥과 연금 생활, 타국에서의 망명 생활 등 고통스러운 세월이 이어지는 동안 이휘호 여사는 김대중 전 대통령.."
163,164,하늘 호수로 떠난 여행,류시화,시집 `그대가 곁에 있어도 나는 그대가 그립다`과 `외눈박이물고기의 사랑`을 비롯해 번역서 `성자가 된 청소부` `마음을 열어주는 101가지 이야기`등으로 대중적인 호응을 얻고 있는 류시화의 인도여행기. 인도 네팔 티베트 등지의 여행 중에 체험한 감동적이고 엉뚱한 일화들을 엮으면서 말미에 인도사람들의 인상적인 `말`을 인디아어록이란 제목으로 한데 모았다.
164,165,죽음의 수용소에서,빅터 프랭클,"나치의 강제수용소에서 겪은 생사의 엇갈림 속에서도 삶의 의미를 잃지 않고 인간 존엄성의 승리를 보여준 프랭클 박사의 자서전적인 체험 수기. 그 체험을 바탕으로 프랭클 박사는 자신의 독특한 정신분석 방법인 로고테라피를 이룩한다.조각난 삶의 가느다란 실오라기를 의미와 책임의 확고한 유형으로 짜 만드는 것이 프랭클 박사가 스스로 창안한 현대 실존 분석과 로고테라피의 목적이자 추구하는 바다. 그는 이 책에서 로고테라피의 발견으로 이끌어간 체험을 설명하고 있다. 잔인한 죽음의 강제수용소에서 보낸 기나긴 죄수 생활로 자신의 벌거벗은 몸뚱아리의 실존을 발견하게 된다. 부모, 형제, 아내가 강제수용소에서 모두 죽고, 모든 소유물을 빼앗기고 모든 가치를 파멸당한 채 굶주림과 혹독한 추위 그리고 핍박 속에 몰려오는 죽음의 공.."
165,166,빌 에반스,피터 페팅거,"오늘날 재즈의 가장 많은 영향을 미치고 있는 재즈 피아노계의 거장 빌 에반스,재즈 피아노의 쇼팽이라 불리우는 빌에반스의 삶과 음악 이야기를 담은책. 헤로인 중독과 그밖의 문제로 인해 얼룩진 빌 에반스의 흥망성쇠를 쫓아가면서 한 사람의 인성이 재즈의 혁신가로서 그 예술적 감수성의 형성에 어떻게 작용했는지를 보여준다.이 책은 빌 에반스의 앨범과 연주곡 하나하나 빠짐없이 기록하고 있으며, 작은 클럽에서 빌 에반스가 연주한 날짜와 배경, 상황까지 소개하고 있다. 특히 디스코그래피(DISCOGRAPHY)에는 빌 에반스가 녹음한 모든 음반의 참여 연주자와 녹음 일자, 장소, 앨범의 특징, 녹음 과정 및 변경 사항 등을 전부 기록하여,‘전체 빌 에반스 음반의 작은 역사’를 구현하고 있다.또한 빌 에반스의 연주 장면과 악.."
166,167,너도 떠나보면 나를 알게 될 거야,생선,"서른 살이 될 혹은 서른 살이 넘은 당신을 위한 미국에서의 일기!대중음악가 김동영의 230일간의 미국 여행기, 『너도 떠나보면 나를 알게 될 거야』. 관광경영학을 전공했으나 음반사에 취직하여 공연과 앨범을 기획한 남자가 있다. 그는 그후 '델리 스파이스' 등의 매니저로 활동했으며, <항상 엔진을 켜둘게> 등의 노래를 작사했다. 그리고 MBC FM 라디오 '서현진의 세상을 여는 아침' 등에서 음악작가로도 일했다. 그러던 어느날, 방송국에 그만나오라는 통보를 받은 그는, 가진 것을 모두 팔아 자동차 등을 사고 미국으로 훌쩍 떠난다. 서른 살이 된 자신을 위해 준비한 인생 최고의 순간이자 영광이면서도 낭비인 선물이었다. 이 책은 가질 수 없는 것, 닿을 수 없는 것에 대한 청춘의 몸부림이 쓴 230일간.."
167,168,아들아 머뭇거리기에는 인생이 너무 짧다 1,강헌구,꿈을 잃고 방황하는 젊은이들을 위한 지침서. 비전이란 도대체 어떻게 생성되는 것이며 그것을 현실 삶에서 성취하는 방법의 핵심은 무엇인가 하는 물음에 대한 해답을 자세하게 담았다.
168,169,퇴계선집,이황,<동양문학>으로 등단한 신학교수의 아홉번째 시집. 사랑과 그리움을 노래한 시편들이다.우리나라 유학사에 두 축이 되어온 성리학과 실학을 각각 개관하고 그것을상호 비교하는 한편 각각에 해당하는 주요 사상가들을 심도있게 분석하였다.
169,170,안 보이는 사랑의 나라,마종기,"시인으로서는 희귀한 의사의 체험, 시인으로서는 가장 큰 갈등인 외국 생활이 기본 모티프가 되는 그의 시들은 그러나 격렬한 체험들을 아름답고 따뜻하며 착한 서정으로 수용, 맑은 지성과 세련된 언어로 승화시킨다. 이 시집은 원숙한 경지에 이르러 오히려 더욱 참신해지는 이 같은 시세계의 결정체이다."
170,171,무량수전 배흘림기둥에 기대서서,최순우,"국립중앙박물관장을 지낸 고 최순우씨가 쓴 우리의 문화 유산 해설서. 부석사 무량수전 등 건축물을 비롯해 불상, 금속공예, 백자, 회화에 이르기까지 장르별 우리 문화유산 대표작들을 도판과 함께 해설했다. 문화재들을 설명하는 저자의 맛깔스런 입담이 한국적인 것의 아름다움을 더욱 느끼게 한다."
171,172,헬렌 니어링의 소박한 밥상,헬런 니어링,"스코트 니어링의 아내이자 미국의 유명한 자연주의자로 국내에도 널리 소개된 헬렌 니어링의 요리책. 조화로운 삶을 지향하는 사람들을 위해 말년의 저자가 자상하게 일러 주는 '요리 없는 요리책'이다. 니어링 부부는 반세기가 넘는 세월을 자급자족하며 자본주의 사회에 적극 대항하는 자연 친화적인 삶의 모범을 보여주었다. 그들은 50년 동안 한 번도 의사를 찾은 일이 없었으며, 죽기 직전까지 건강하고 풍요로운 삶을 영위했다. 우리는 이 책을 통해 반세기가 넘는 세월 동안 니어링 부부의 육체와 정신을 건강하게 살려 준 조화로운 음식의 참모습을 접하게 된다. 더불어 요리와 음식에 대한 헬렌 니어링의 독특한 철학을 접할 수 있다. 이 책에서 우리는 혀가 아닌 우리의 몸, 몸뿐 아니라 우리의 정신 또한 배불리 먹이는 '진짜 .."
172,173,나의 문화유산답사기 1,유홍준,"우리 국토는 그 자체가 박물관이라 할 정도로 문화유산의 보고이다. 우리가 무심히 지나칠 뿐 별다른 의미를 못 느끼는 유적들을 꼼꼼히 답사하면서 저자는 진주를 캐내듯 산하에 스민 역사의 자취와 누대의 숨결을 발굴하여, 해박한 지식과 탁월한 이야기 솜씨로 풀어놓는다. 종횡으로 얽히고 설킨 유적의 신비를 뒤얽힌 실타래를 풀어내듯 명료하게 해설해가는 이 답사기는 그 자체가 바로 새로운 문화창조라 할 만하다."
173,174,넬슨 만델라 평전,자크 랑,삶과 이상을 일치시킨 참다운 영웅의 궤적을 담은『넬슨 만델라 평전』. 남아프리카의 악명높은 인종 차별 정책인 '아파르트헤이트'에 맞서 흑인 인권 운동과 인간 평등을 위해 온 생애를 바쳐 투쟁한 넬슨 만델라의 일대기를 보여준다.노벨 평화상을 수상하고 남아프리카 최초의 흑인 대통령이 되어 평화 민주주의를 실현한 넬슨의 모습과 현재에도 세계 평화와 인권운동의 정신적 지도자로 활동하는 삶을 통해 자유와 민주주의에 대한 헌신을 그려낸다. '역사인물찾기' 제23권. 양장제본.
174,175,오규원 시전집 1,오규원,"오규원의 첫번째 시전집. 여러 내용의 시들과 자세한 설명으로 구성되어 있다. <겨울숲을 바라보며 완전히 벗어버린 이 스산한 그러나 느닷없이 죄를 얻어 우리를 아름답게 하는 겨울의 한순간을 들판에서 만난다. 누구나 함부로 벗어버릴 수 있는 것은 아니다. 더욱 누구나 함부로 완전히 벗어버릴 수 없는 이 처참한 선택을 겨울숲을 바라보며, 벗어버린 나무들을 보며, 나는 이곳에서 인간이기 때문에 한 벌의 죄를 더 얻는다. 한 벌의 죄를 더 겹쳐 입고 겨울의 들판에 선 나는 종일 죄, 죄, 죄 하며 내리는 눈보라 속에 놓인다.> - <겨울숲을 바라보며> 중에서."
175,176,행복의 건축,알랭 드 보통,"건축에서 행복을 찾아내다!일상의 철학자 알랭 드 보통의 『행복의 건축』. 그동안 사랑, 문학, 여행, 철학, 불안 등의 영역에서 특유의 명민함과 유쾌함이 담긴 글쓰기를 해온 저자가, 아웃사이더로서 건축의 영역을 탐구하여 찾아낸 행복을 제시한다. 우리가 알고 있지만 제대로 이해하지는 못하는 영역에 대해 명쾌하게 설명해주는 저자의 특징이 그대로 녹아 있다. 이 책은 '장소가 달라지면 나쁜 쪽이든, 좋은 쪽이든 사람도 달라진다'라는 관념을 제시하면서 시작한다. 우리가 살아가는 공간을 기능적이며 아름답게 만들어내는 건축에 대해 유머러스하게 이야기하면서, 건축이 나름의 방식으로 우리의 행복에 영향을 주고 있음을 증명하고 있다. 저자는 건축을 제대로 이해하고 감상하는 것은 무의미하지 않으며, 도시 전체를 이해하기 위해.."
176,177,행복한 사람 타샤 튜더,타샤 튜더,"미국을 대표하는 작가 타샤 튜더의 에세이. <비밀의 화원>과 <소공녀>의 그림을 그리는 등 70여 년동안 100여 권이 넘는 그림책을 출간하고 2번이나 칼테콧 상을 수상한 저자는 미국인이 가장 사랑하는 작가다. 그리고 저자는 독특한 라이프스타일로도 널리 알려져 있다. 버몬트 주의 시골에서 30만 평이나 되는 전원풍 정원을 가꾸며 자급자족의 생활을 하고 있기 때문이다. 올해 91세인 저자는 버몬트 주의 시골에서 자연적인 삶이 인간으로서 당연하다고 여기며 자연과 함께 혼자 살아가고 있다. 19세기 생활을 좋아해서 그 시대의 옷을 입고, 직접 키운 염소의 젖을 짜서 치즈를 만들어 먹고, 베틀로 천을 짜서 옷을 만들고, 장작을 지펴야 하는 스토브로 요리를 하고, 자신이 키우는 식물과 동물을 소.."
177,178,자전거 여행 1,김훈,"<시사저널> 편집국장이 쓴 자전거 여행서. 1999년 가을부터 2000년 여름까지 자전거 풍륜을 타고 꽃피는 해안선 여수 돌산도 향일암부터 지옥 속의 낙원 소쇄원, 망월동의 봄 광주, 선암사, 경주 감포 등 전국의 산천으로 누비고 다닌 이야기를 원색 사진과 함께 담았다."
178,179,전태일평전,조영래,"이 결단을 두고 얼마나 오랜 시간을 망설이고 괴로워했던가? 지금 이 시각 완전에 가까운 결단을 내렸다. 나는 돌아가야 한다. 꼭 돌아가야 한다.... 내 죽음을 헛되이 말라며 노동자의 권리를 찾기 위해 온 몸에 석유를 뿌리고 평화시장 한복판에서 분신자살한, 평화 시장 젊은 노동자 전태일의 생애를 담았다. 우리 나라 역사에 노동 운동의 불꽃으로 기록된 전태일이 끼친 사회적인 영향력에 관해서도 간단하게 언급했다."
179,180,나는 왜 너가 아니고 나인가,류시화,"""우리가 어떻게 공기를 사고팔 수 있단 말인가? 대지의 따뜻함을 어떻게 사고판단 말인가? 부드러운 공기와 재잘거리는 시냇물을 우리가 어떻게 소유할 수 있으며, 또한 소유하지도 않은 것을 어떻게 사고팔 수 있는가? 햇살 속에 반짝이는 소나무들, 모래사장, 검은 숲에 걸린 안개, 눈길 닿는 모든 곳, 잉잉대는 꿀벌 한 마리까지도 우리의 기억과 가슴속에서는 모두가 신성한 것들이다. 그것들은 우리 얼굴 붉은 사람들의 기억 속에 고스란히 살아 있다. 우리는 대지의 일부분이며, 대지는 우리의 일부분이다……."" '인디언 연설문' 중에서 가장 유명한 시애틀 추장의 연설이다. 이 연설은 미국 땅을 점령한 백인들이 그곳에 살던 원주민들을 강요된 보호구역으로 밀어 넣기 위해 시애틀의 '퓨젓 사운드'에 도착했을 때 행해진 것으로.."
180,181,그때 카파의 손은 떨리고 있었다,로버트 카파,"죽음을 두려워하지 않는 투철한 기자정신을 담다!포토저널리스트이자 보도사진 에이전시 매그넘의 창시자인 로버트 카파의 2차대전 종군기. 18세 되던 해에 조국 헝가리에서 좌익활동을 이유로 추방돼 건너간 독일에서 사진을 배운 이후 카파는 모두 다섯 차례의 전쟁, 즉 스페인내전, 중일전쟁, 2차대전, 중동전쟁, 인도차이나전쟁을 취재한다. 모든 전장에서 병사보다 더 적진 가까이에 다가가서 촬영하는 행동으로 유명했던 카파는 1954년 41세의 나이로 인도차이나전을 취재하러 갔다가 베트남에서 지뢰를 밟고 폭사하면서, ‘죽음을 두려워하지 않는 투철한 기자정신’이라는 뜻의 ‘카파이즘’이란 단어와 함께 보도사진계의 신화로 남았다.이 책은 2차대전 발발 이후 미국으로 건너가 적국인으로서 무료하고 숨막히는 나날을 보내던 카파가 .."
181,182,"오라, 거짓 사랑아",문정희,중견 여류 시인의 사랑을 노래한 시집. 사랑의 기쁨과 슬픔을 섬세한 언어로 노래하고 있는 70여 편의 시를 수록했다. <누구에게 무릎을 꿇어야 하나 반갑고 눈물겨워 하늘 향해 처녀의 손을 바친다 젊은 날 사랑에 넘어져 온몸 뜨거울 적마다 백설기에 촛불 켜고 두 손 비비던 어머니의 기도가 하늘로 올라가...> - 첫눈 온 날 중에서
182,183,젊은 여성을 위한 인생론,펄벅,책으로 만나는 새로운 세상
183,184,빌 클린턴의 마이 라이프 1,빌 클린턴,"<빌 클린턴의 마이 라이프>는 그의 일과 이상이 개인과 미국, 그리고 전 세계에 미친 긍정적인 영향을 증언한다. 절정의 순간과 위기만이 아니라, 대통령의 직무에 관해 일상적으로 터지는 문제들, 갈등, 좌절, 성취까지 망라하여 완전하고 구체적이고 섬세하게 묘사한다. 이 책은 그를 반대하는 극우파들이 획책한 무자비한 공격을 받았던 대통령, 결국 그 공격에서 살아남고 나아가 승리를 거둔 진보 대통령의 흥미진진한 이야기이다. 이 책에는 한 위대한 국가적ㆍ국제적 인물의 삶이 그 재능, 모순과 함께 온전하게 드러나고 있다."
184,185,인연,피천득,"<인연>은 '수필'하면 떠오르는 이름인 금아 피천득 선생의 수필집이다. 교과서에도 실렸던 아사꼬와의 이야기 '인연'부터, '수필은 청자 연적이다...'로 시작하는 '수필', '내가 늙고 서영이가 크면 눈 내리는 서울 거리를 같이 걷고 싶다'로 끝나는 '나의 사랑하는 생활'까지.이 단아하고 정결한 문체의 수필 80여편 중 단 한 편이라도 읽어보지 못한 사람이 있을까. '수필'이란 것이 자꾸만 잡문으로 여겨져 한옆으로 치워지는 세상에서 다시 읽는 <인연>은 교과서를 통해 읽는 것보다 훨씬 아름답다."
185,186,대화,"박완서, 방혜자, 이인호, 이해인","슬픔으로 씻기고, 사랑으로 비우다!삶의 빈 자리에 지혜의 울림을 담아내는 대담집, 『대화』. 거짓 없이 현재를 치열하게 기록하는 소설가 박완서와 빈 마음에 투명한 시를 채워 주는 시인 이해인, 내면의 빛을 통해 생명의 근원에 다가서는 화가 방혜자와 격동의 시간에 용기 있는 지성의 삶을 개척한 사학자 이인호 등 우리 시대를 넓은 마음으로 감싸는 여성 지성 4명의 목소리를 담고 있다. 여성들의 스승이며, 역할 모델인 그들은 이 책을 통해 자신을 성장시켜 온 경험은 물론, 그동안 털어놓을 기회가 없었던 여성으로서의 심정, 개인적인 갈등과 아픔, 그리고 소중한 인연 등에 대해서도 솔직하게 들려주고 있다. 그들의 목소리는 우리 모두의 어머니인 땅의 목소리처럼 부드럽고 단호하게 우리의 마르고 거친 삶을 위로하며 일깨워.."
186,187,한국인의 의식구조 1,이규태,"의식주와 일상 생활에서 나타나는 한국인의 감정,사고 방식,표현 양태를 분석하고,한국인의 의식구조를 극명하게 파헤친 에세이식 칼럼집. <꿈보다는 해몽이 좋아>,<타인을 따라야 일단 안심> 등 70여 편의 글을 통해 한국인의 다양한 의식구조와 동질성을 살폈다."
187,188,100편의 사랑 소네트,파블로 네루다,칠레의 대표 시인 파블로 네루다가 세번째 부인 마틸데 우루티아에게 바친 사랑의 소네트. 정현종 시인의 번역으로 출간되었다. 영화 「일 포스티노」에서 네루다는 부인과 한적한 은둔 생활을 하는 낭만적인 시인으로 그려졌다. 그 영화에서 네루다와 함께 칠레의 해변을 거닐었던 여인이 바로 세번째 부인인 우루티아. 부인과 함께 춤을 즐기고 사랑하는 데 온 정열을 쏟던 그 남자는 세계적 민중 시인이라 일컫는 네루다였다. 이 시집은 「일 포스티노」에서처럼 낭만적이고 정열적인 그의 모습을 엿보게 한다. '내 사랑하는 아내여. 이 작품들을 당신에게 바치며 느끼는 행복감은 사바나처럼 광활하다'. 서문에서 적은 네루다의 고백이다. 그러나 이 고백도 앞으로 읽게 될 100편의 소네트에 비하면 가장 얌전한 축에 속한다. 사랑의 기쁨..
188,189,김소월 시전집,권영민,"정본 김소월 시선집. 일제 강점기에 우리 민족 본원의 서정성을 우리 말과 가락에 담아낸 민족시인 김소월. <진달래꽃>, <소월시초> 외에 신문과 잡지에 실린 김소월 시 전 작품의 텍스트를 바탕으로 그 정본을 바로잡고 있다. 또한, 책의 말미에 실린 김소월 시의 주요 어휘에 대한 해설을 통해 김소월 시의 새로운 독법을 제시한다. <양장제본>"
189,190,소년의 눈물,서경식,"재일조선인 2세로 태어나 일본 에세이스트클럽상, 마르코폴로상 을 수상한 서경식, 그가 오래된 책더미에서 찾아낸 유년의기억과 성정의 통증을 지닌 에세이집. 1960년대 제일교포들이 살아온 삶의 현장, 일본사회의 주류를 향해 소수자들이 품고 있을 굴절된 심정, 또 흡사 짝사랑과도 같은, 조국을 향한 그 복잡다단한 애증의 추억들이 잘 나타나있다."
190,191,Love & Free,다카하시 아유무,"8월 3일부터 31일까지 구매하신 분들 중 1분을 추첨해 40만원 상당의 디지털 카메라를, 20분을 추첨해 5,000원의 사이버머니를 드립니다."
191,192,정약용과 그의 형제들 1,이덕일,"역사평론가 이덕일의 조선후기 인물사 3부작의 완결편. 시대의 절망을 딛고 민중에 대한 사랑을 키워나간 정약전, 고문 끝에 목이 잘리면서도 신앙을 지켜낸 정약종, 지배 권력의 공격 속에서 좌초된 꿈을 학문으로 승화시킨 정약용은 닫힌 시대에서 열린 사회를 지향했다는 이유로 저주를 받고 비참하게 죽어갔다. 이 책은 당대 현실에서 우러나온 실학과 선진 과학문물, 그리고 인간중심의 새로운 사상으로 침몰해가는 조선사회를 규명하려 했던 정약용과 형제들의 파란만장한 일대기를 서술하고 있다. 정약용의 탄생부터 죽음까지, 그 시대, 그 시대의 인물들의 이데올로기가 펼쳐진다. , <정약용과 그의 형제들> 제 1 권, 새 시대를 열어간 사람들."
192,193,자전거 여행 1,김훈,"자전거로 우리 땅의 풍경을 누비다!소설 <칼의 노래>의 저자 김훈의 에세이, 『자전거 여행』. 개정판. 1999년 가을부터 2000년 여름까지 '풍륜(風輪)'이라는 이름의 자전거를 타고 우리나라 곳곳을 순례한 저자의 자전거 여행기다. 언어의 주술사로 불리는 저자가 자전거 두 바퀴에 담아온 우리 땅의 풍경을 진실한 언어로 되살려낸다. 이 책은 저자와 그의 자전거가 발견해낸 아름다운 우리 땅의 풍경은 물론, 이웃의 정을 풀어놓고 있다. 아울러 역사의 위인부터 분교의 아이까지 인간의 흔적을 되돌아보면서, 생태학, 지리학, 역사학, 인류학, 종교학을 다룬다. 사진가 이강빈이 촬영한 우리 땅의 풍경을 곳곳에 담아내 우리의 감성을 풍요롭게 하고 있다.저자는 자전거를 타면서 흘린 땀으로 우리의 일상생활 속에 .."
193,194,젊은 시인에게 보내는 편지,라이너 마리아 릴케,"릴케의 <젊은 시인에게 보내는 편지>. 이 작품은 1929년에 출간된 릴케의 서한집으로, 릴케가 시인 프란츠 크사버 카프스에게 보낸 열 통 남짓의 편지를 묶은 것이다. 존재의 근본문제, 신, 사랑, 죽음, 예술, 구체적인 미적/시적 물음 등에 대한 릴케 자신의 사상이 펼쳐져 있다."
